_id,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,target
65bc146c7d02e341658d32749925c3e2,28,technician,married,basic.9y,no,no,no,telephone,may,tue,472,2,999,1,failure,-1.8,92.89299999999999,-46.2,1.291,5099.1,0
5cd2558b5527effc1585116fcb7fedde,48,management,married,university.degree,no,yes,no,cellular,aug,tue,189,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0
e9ac8da03fb7e719a32bd3c11943f4de,29,admin.,single,university.degree,no,yes,no,cellular,jun,wed,170,1,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,1
04fc04599137aed521794ccba7a72aa2,27,admin.,single,university.degree,no,yes,no,cellular,apr,mon,148,1,999,0,nonexistent,-1.8,93.075,-47.1,1.392,5099.1,1
40342af9804c88c7448357c1469dede4,44,technician,married,high.school,unknown,yes,no,telephone,may,wed,139,2,999,0,nonexistent,1.1,93.994,-36.4,4.8580000000000005,5191.0,0
a974bb0929f67781c1bdd8ddcf8ef5a3,41,blue-collar,married,basic.9y,unknown,no,no,telephone,may,fri,475,2,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0
4cbca4c0c8c0b9dcc349c31a207d1a14,49,housemaid,married,basic.4y,unknown,yes,no,cellular,jul,tue,226,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,0
08cf059b38415e47d58f0d04f4e5ca8d,30,admin.,single,university.degree,no,yes,no,cellular,nov,tue,402,1,999,0,nonexistent,-3.4,92.649,-30.1,0.72,5017.5,0
a7a19c86ac01e03111c30032ba417b55,28,student,single,high.school,unknown,yes,no,telephone,may,wed,313,4,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0
0a1772d3068d1812c0883d378f628614,42,admin.,single,university.degree,no,yes,no,telephone,jun,fri,520,3,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,0
698570b9f05167acebb803554f4ec64f,53,retired,married,high.school,unknown,no,no,telephone,may,tue,15,13,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,0
